train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro,val_auc_macro,val_subject_acc,val_subject_f1_macro,val_subject_auc_macro,lr
1.0730476571892023,0.49843952658884566,0.49246208032092675,0.9771073596125626,0.5713475177304964,0.5734967150759989,0.8518253167787898,0.7049180327868853,0.7088986569729419,0.925581822489966,0.0001400941541415797
0.7833909220732603,0.6716419422827496,0.6718835351642591,0.8077213483222996,0.6941371158392435,0.6882089386153498,0.9016504672020499,0.7745901639344263,0.7746844827366953,0.9517329547892155,0.00038018823440813955
0.6097325683026616,0.7540835765239948,0.7546452213190851,0.6091001070082098,0.7606146572104019,0.7592983157577984,0.9373569829326941,0.8688524590163934,0.8690284655434544,0.972837963080253,3.119607034479114e-05
0.5347439329757147,0.7806825551232166,0.7811210070814867,0.6096910718626466,0.7748936170212766,0.7718187615864647,0.9434340609094979,0.8483606557377049,0.8450992121248957,0.9795208820990084,8.196652128754672e-05
0.4897732320308067,0.7998135538261998,0.8000453012276803,0.640680995461228,0.7715366430260048,0.7672150492929317,0.9460117338638345,0.8483606557377049,0.8499409295851736,0.9784949208241646,9.9984263186212e-05
0.4237280896974754,0.8277602140077821,0.827930462107536,0.5390086289023958,0.8038297872340425,0.8018239092403296,0.9568303502238305,0.8934426229508197,0.8930521822723053,0.9840091387426712,1.8598482467901656e-05
0.41110359526561857,0.8324619001297017,0.8326187675113176,0.6102197907334866,0.8002836879432624,0.7982979100957338,0.9521087891827602,0.8729508196721312,0.8746823260152257,0.9823429812993443,4.543479485183673e-05
0.39464013912411827,0.8385619325551232,0.8387138590745336,0.6392618722607752,0.78,0.7817296870807746,0.9475864087837222,0.8852459016393442,0.8876234945245615,0.9821254116363147,4.993880951507522e-05
0.3463778302518001,0.8585744974059663,0.8586881857684034,0.5683746564788295,0.8183451536643026,0.8173712373756821,0.9593983786638155,0.9098360655737705,0.9129054771598286,0.9856235680083794,1.5069637564590587e-05
0.33862845680824977,0.8618170395590142,0.861925351620894,0.5727430676413049,0.8144208037825059,0.8140882915500464,0.9568090792599852,0.8934426229508197,0.8949721906000976,0.9854393856845126,3.2692793516655357e-05
0.32986521577866007,0.8648467898832685,0.8649428057862338,0.6146690274998321,0.8147990543735225,0.8134401706288946,0.9570946157525128,0.8811475409836066,0.882007606518326,0.9852264105369122,3.319886614178029e-05
0.3163093676942796,0.8712508106355382,0.8713424539248037,0.6353708307976913,0.8130023640661939,0.8122504273658172,0.9541365885643329,0.9098360655737705,0.910936250199968,0.9836338917334722,3.265752001264282e-05
0.3001306797589155,0.8792862354085603,0.8793648985887264,0.6283180085094983,0.8169267139479905,0.8157658876387287,0.9562071282611865,0.9057377049180327,0.9058771899909717,0.9839066865151801,3.171461558691315e-05
0.2834497929276505,0.8848188229571985,0.8848661232228993,0.6010775872574928,0.823404255319149,0.8225612605464457,0.9602424466179227,0.9098360655737705,0.9112234137726625,0.9863289214126352,3.0393840719509497e-05
0.2701897927875185,0.8902804798962386,0.8903465727478035,0.6323906346869442,0.8233096926713948,0.8217498830960016,0.9625539222620623,0.9139344262295082,0.9142585788449958,0.9862302808503652,2.872837621071762e-05
0.25512225980038156,0.8966845006485085,0.8967783357817172,0.6998662015048686,0.8183451536643026,0.8175789419009605,0.9580441107221913,0.9139344262295082,0.9131413425904562,0.9851569382271251,2.6760062230738423e-05
0.24401951900136146,0.9008390077821011,0.9009172018188993,0.7215557571238255,0.8176832151300236,0.8159860550542148,0.9590454352964739,0.8934426229508197,0.8953413297394851,0.9857623366100561,2.4538347201616542e-05
0.2324078050955415,0.9052975032425421,0.9053384449407548,0.7427888525220712,0.8236406619385342,0.8214831427992573,0.9568950424873968,0.9016393442622951,0.9002990995579399,0.9847191283668424,2.211904554297226e-05
0.21956404856129533,0.9101815823605707,0.9102267644674329,0.7300215966618026,0.8229787234042554,0.8218584164559988,0.9583202604822374,0.9098360655737705,0.9105344542997588,0.9846665601895825,1.956293548972478e-05
